Texto,Sentimiento
Wow... Me encantó este lugar.,1
La comida no es buena.,0
No es sabroso y la textura era simplemente desagradable.,0
Pasamos por aquí en mayo por recomendación de Rick Steve y nos encantó.,1
La selección del menú era estupenda y los precios también.,1
Ahora me estoy enfadando y quiero mi maldito plato.,0
Honestamente no sabía tan fresco,0
Las papas eran como de goma y se notaba que habían sido preparadas con antelación manteniéndose bajo un calentador.,0
Las papas fritas también estaban muy bien.,1
Un gran toque.,1
El servicio fue muy rápido.,1
No volvería.,0
La cajera no se preocupó por lo que yo tenía que decir y aún así terminó siendo un precio excesivo.,0
Probé el pollo ravoli de Cape Cod con arándanos... ¡mmmm!,1
Estaba asqueado porque estaba bastante seguro de que era pelo humano.,0
Me sorprendió porque no hay carteles que indiquen que sólo se puede pagar en efectivo.,0
Muy recomendable.,1
La camarera fue un poco lenta en el servicio.,0
Este lugar no vale su tiempo y mucho menos Las Vegas.,0
no me gustó nada.,0
Los Burritos Blah!,0
La comida increíble.,1
El servicio también es bonito.,1
No me importa... El interior es simplemente hermoso.,1
Así lo hicieron.,1
Así es.... el pastel de terciopelo rojo..... ohhh esta cosa es tan buena.,1
#¿NOMBRE?,0
Este agujero en la pared tiene grandes tacos callejeros mexicanos y un personal amable.,1
Tomó una hora para conseguir nuestra comida sólo 4 mesas en el restaurante de mi comida era Lucas caliente Nuestro servidor estaba corriendo como si estuviera totalmente abrumado.,0
Lo peor fue el sashimi de salmón.,0
También hay combos como una hamburguesa con papas fritas y cerveza por 23 que es una oferta decente.,1
¡Esto fue como el golpe final!,0
Encontré este lugar por casualidad y no podría estar más contento.,1
parece un buen lugar rápido para tomar un bocado de alguna comida de pub familiar pero hazte un favor y busca en otro lugar.,0
En general me gusta mucho este lugar.,1
La única cualidad redentora del restaurante era que era muy barato.,1
Porciones amplias y buenos precios.,1
Mal servicio el camarero me hizo sentir como un estúpido cada vez que venía a la mesa.,0
Mi primera visita a Hiro fue una delicia!,1
El servicio apesta.,0
Las carnes tiernas y húmedas.,1
No hay un trato lo suficientemente bueno que me arrastre a ese establecimiento de nuevo.,0
Es difícil juzgar si estas guarniciones estaban buenas porque nos dio asco la espuma de poliestireno derretida y no quisimos comerla por miedo a enfermar.,0
En una nota positiva nuestro servidor fue muy atento y proporcionó un gran servicio.,1
Patos congelados de asco con algunas de las peores personas detrás de la caja registradora.,0
Lo único que me gustó fue la sección de costillas y postres.,1
Es una pena que la comida sea tan condenadamente genérica.,0
La hamburguesa es una buena carne cocinada en su punto.,1
Si quieres un sándwich sólo tienes que ir a cualquier Firehouse!!!!!,1
Mi ensalada griega de acompañamiento con el aderezo griego era muy sabrosa y el pita y el hummus eran muy refrescantes.,1
Pedimos el pato poco hecho y estaba rosado y tierno por dentro y con una buena chamusquina por fuera.,1
Vino corriendo tras nosotros cuando se dio cuenta de que mi marido había dejado sus gafas de sol sobre la mesa.,1
¡Su chow mein es tan bueno!,1
Tienen actitudes horribles hacia los clientes y hablan con desprecio cuando los clientes no disfrutan de su comida.,0
¡La porción era enorme!,1
Me encantó...camareros amables gran comida menú maravilloso e imaginativo.,1
El Heart Attack Grill en el centro de Las Vegas es una excusa absolutamente plana para un restaurante.,0
Poco marisco y como 5 hilos de pasta en el fondo.,0
La ensalada tenía la cantidad justa de salsa para no sobrepasar la vieira que estaba perfectamente cocinada.,1
El plátano rasgado no sólo estaba rasgado sino petrificado e insípido.,0
Al menos piensa en rellenar mi agua antes de que me esfuerce en saludarte durante 10 minutos.,0
Este lugar recibe estrellas por sus APERITIVOS!!!,1
Los cócteles son todos artesanales y deliciosos.,1
Definitivamente volveríamos aquí de nuevo.,1
Estamos muy contentos de haber encontrado este lugar.,1
Gran comida y servicio enormes porciones y dan un descuento militar.,1
Siempre es un gran momento en Dos Gringos!,1
Actualización..... volvió por segunda vez y seguía siendo igual de sorprendente,1
Nos dieron la comida y por lo visto nunca han oído hablar de la sal y el rebozado del pescado estaba chicloso.,0
Una gran manera de terminar un gran.,1
El trato incluía 5 degustaciones y 2 bebidas y Jeff fue más allá de lo que esperábamos.,1
- Un arroz realmente bueno todo el tiempo.,1
El servicio era meh.,0
